Survey Year,Fullstring,Category 1,Sub-category 1,Category 2,Sub-category 2,Category 3,Sub-category 3,Category 4,Sub-category 4,Category 5,Sub-category 5,Category 6,Sub-category 6,Category 7,Sub-category 7,Category 8,Sub-category 8
2015,"I have converted all of my front and back yard to native plants of coastal southern California. I wish the city would do the same, instead of creating a ""city arboretum"" of flora introduced from all over the world. It is ludicrous to me to ""help save endangered species"" from other countries and continents rather than those we are losing right here under our noses. We should be supporting pollinators--our own, not European honey bees--and the plants they have evolved with over millennia. We ought to be caring for the future of our children's food supply, clean air, precious water if we are fortunate enough to be getting any. Do our city planners not know, or not care, that the insects and animals that have evolved here--including our very efficient pollinators--can make use of only 7-10% of the vegetation they keep introducing here from elsewhere in the name of beautification and protecting the ""world's"" endangered species? We could do so much to improve the quality of life here, for now and for the future, if we would commit to restoring Santa Monica's vegetation and water supply to what has naturally occurred here for eons. We are wasting time and extinguishing invaluable resources by not doing so. We are killing a healthy future.",Environment,Improve environmental sustainability,,,,,,,,,,,,,,
2015,"continue the trends Santa Monica started of being green, eco friendly, but try to make things more affordable! The charging stations for electric cars should be free for a couple hours like they are in Beverly Hills. Try to somehow lessen the traffic in downtown SM area by the mall and 3rd st. it always feels like a hassle when we want to go out there since we drive and like to have our car with us.",Environment,Improve environmental sustainability,,,,,,,,,,,,,,
2015,"I need to do some more research but I think the recyclables that are collected are not actually sorted? If that's the case, then why do we have separate trash bins? I was very upset when I went over to Michigan to see all the recyclable trash being all scooped up into a huge truck.   So the one thing would be to help SM sort ALL of its recyclables.   Thank you for this survey",Environment,Improve environmental sustainability,,,,,,,,,,,,,,
2015,"I try to walk around my neighborhood to run errands as much as possible. Primarily for exercise, but also to support local businesses. For my community, we've added recycling bins to our condo complex and I'd like to get our front lawn area converted to sustainable plants to save water.",Environment,Improve environmental sustainability,,,,,,,,,,,,,,
2015,I manage an apartment building in Santa Monica. I wish the small group of tenants who won't recycle would do so. I have asked but they just won't do it. I will be glad when it's mandatory!,Environment,Improve environmental sustainability,,,,,,,,,,,,,,
2015,"Convince people that fundamental change is necessary to combat man-made climate change and help facilitate those changes. Same goes for ending our endless wars, racism and poverty.",Environment,Improve environmental sustainability,,,,,,,,,,,,,,
2015,"improve water recycling - both in terms of encourage homeowners to use grey water for irrigation, and also for santa monica to recycle water for use in the municipal supply",Environment,Water security,,,,,,,,,,,,,,
2015,I'd like to see a sustainable farmer family-owned business butcher shop in Santa Monica.  I don't like to go to Whole Foods unless I have to...,Environment,Improve environmental sustainability,,,,,,,,,,,,,,
2015,"be more environmentally conscious: use less water, install solar panels, drive less, eat less meat and live more sustainably",Environment,Improve environmental sustainability,,,,,,,,,,,,,,
2015,neighborhood needs more shade trees and more helpful info on replacing lawns with drought tolerant plants.,Environment,Water security,,,,,,,,,,,,,,
2015,Address the drought by banning lawn watering and ticketing people who are still watering their lawns!,Environment,Water security,,,,,,,,,,,,,,
2015,Non toxic park maintenance and improved water conservation,Environment,Water security,,,,,,,,,,,,,,
2015,Help to improve water quality in the bay.,Environment,Water quality,,,,,,,,,,,,,,
2015,pollution and waste reduction,Environment,Improve environmental sustainability,,,,,,,,,,,,,,
2015,Water conservation!!,Environment,Water security,,,,,,,,,,,,,,
2015,more solar panels,Environment,Improve environmental sustainability,,,,,,,,,,,,,,
2015,save water,Environment,Water security,,,,,,,,,,,,,,
2015,"I live in a 70 year-old rent controlled apartment from a slumlord who neither care about basic maintenance (like black mold, water leaks etc) or basic upgrades (like updated electrical outlets and renew tilefloor in bathroom which has gone to pieces over the past 70 years). I wish Santa Monica City reinforced STRICTER rules on landlords for what they must do regarding maintenance. The rules today are too vague and too much effort, work and time is put on the tenants to deal with it. It's unfair and causes lots of stressed and minimizes quality of life. Even with departments like Rent Control Board, Santa Monica Renters Right and City Attirney's Office you still get very little help and mostly just the run-around and in the end recommended to seek help elsewhere (attorney).  I understand that landlords buy and own buildings as an investment and to make money, but no tenant should have to deal with harassment of any kind nor having to live in misery due to landlords neglect and profits. City of Santa Monica should establish strict rules that after a certain amount of years, for example walls should be painted, windows exchanged, new or updated to today's standards electrical outlets, hardwood floors resurfaced etc, etc. I think it's unfair that just because we live in rent controlled units the landlords don't have to put any money into maintenance and upgrades.   This is my two cents! Thanks for reading and please pass this on to whom would appreciate it most, the City Attorney maybe?",Housing,Protection of rent control tenants' interests,,,,,,,,,,,,,,
2015,"More affordable housing that covers a wider range of incomes and allows tenants to own pets.[XXX]  Most landlords want tenants to have an income of 3x monthly rent.  There are NO two-bedroom apartments that I could afford given that criteria, and there are few one-bedroom apartments I could afford.  NMS properties claim to be affordable, but again, they are way outside of my range. [XXX]  I would like to continue to live here.  Please help make that possible for a wider range of people/incomes.",Housing,Affordability,,,,,,,,,,,,,,
2015,"I would like to try to make sure that Santa Monica stays liveable & affordable for middle income people (already probably a lost cause at this point). I see it tipping more and more toward the ultra rich and catering to in particular wealthy tourists and business people who need short-term housing. Yes our city is of course a highly popular place to visit from around the world due to its natural beauty and magnificent Bay, but it is HOME to those who are not travelers and at only 8 square miles, I see a battle for space going on now that pits these interests against each other. I see Santa Monica for Sale, and I am grateful to have come here early enough to have known it before this era. Hopefully we can stem the tide by electing people who will be guardians of the city by the people and for the people, and not for oligarchs and hi tech millionaires.",Housing,Affordability,,,,,,,,,,,,,,
